Page_Title,Market_ID,Category,Unique Contracts,Dollar Volume,Units,Days
AFAnimal,208,Health,14,4909.9800000000005,9754.0,321
AFHumLoc,207,Health,32,8899.763000000004,17901.0,321
AFHumNum,206,Health,18,4709.754999999998,9399.0,321
AFPolicy,197,Health,20,2989.8769999999968,6069.0,717
Appointments,36,Election,4,4756.914,15482.0,16
CAM_VS,41,Election,3,52.335,59.0,102
CAM_WTA,37,Election,3,2.8499999999999996,8.0,102
CHAV22_WTA,414,Election,3,0.0,0.0,34
CONGRESS06,145,Election,4,26397.728,94522.0,164
CONGRESS20,385,Election,5,26449.04399999997,133823.0,695
CONGRESS22,407,Election,5,8455.385,48074.0,628
CPI_WTA,346,Election,4,2.008,4.0,217
Comp-Ret,48,Economic,8,74.28999999999999,155.0,62
CompRet,49,Economic,8,1501.411,4908.0,63
Comp_Ret,7,Economic,236,40766.64399999992,179760.0,2501
Cong02,59,Election,4,24995.70399999999,104798.0,112
Congress00,10,Election,4,6803.458000000001,30534.0,337
Congress04,79,Election,4,10794.890000000001,46509.0,141
Congress08,338,Election,4,5125.895999999998,13913.0,77
Congress10,343,Election,7,20770.822999999997,78408.0,345
Congress12,352,Election,5,15418.069999999994,77520.0,483
Congress14,357,Election,5,20592.421000000024,105273.0,688
Congress16,360,Election,5,22726.609999999993,108367.0,724
Congress18,369,Election,5,18515.874999999993,100968.0,696
Congress24,417,Election,5,422.915,2540.0,255
DCONV00,17,Election,3,34822.67,107287.0,430
DCONV16,365,Election,3,38090.97099999998,119016.0,185
DCONV20,391,Election,6,22859.661999999982,133267.0,224
DCONV24,418,Election,4,2238.354,8667.0,249
DConv04,67,Election,8,128953.94599999972,890582.0,526
DConv08,214,Election,4,61264.21300000008,245049.0,310
EPparties99,15,Election,9,0.0,0.0,58
FLSen10_VS,347,Election,4,121.30699999999997,541.0,179
FLSen10_WTA,348,Election,4,2815.639000000002,11904.0,179
FLU_wk01_06,127,Health,5,225.79099999999994,651.0,42
FLU_wk02_05,92,Health,5,158.147,509.0,55
FLU_wk02_06,128,Health,5,180.59900000000007,621.0,42
FLU_wk03_04,72,Health,5,111.50999999999999,334.0,8
FLU_wk03_06,129,Health,5,204.73999999999998,786.0,42
FLU_wk04_05,93,Health,5,240.616,699.0,56
FLU_wk04_06,130,Health,5,252.75699999999995,770.0,42
FLU_wk05_04,73,Health,5,213.92800000000003,610.0,21
FLU_wk05_06,131,Health,5,198.219,746.0,41
FLU_wk06_05,94,Health,5,225.69500000000005,764.0,56
FLU_wk06_06,132,Health,5,177.29500000000002,647.0,42
FLU_wk07_04,74,Health,5,316.4970000000001,898.0,35
FLU_wk07_06,133,Health,5,139.84499999999997,519.0,42
FLU_wk08_05,95,Health,5,242.506,756.0,54
FLU_wk08_06,134,Health,5,137.8449999999999,569.0,42
FLU_wk09_04,75,Health,5,162.81599999999997,384.0,42
FLU_wk09_06,135,Health,5,143.05000000000004,563.0,42
FLU_wk10_05,96,Health,5,229.878,905.0,56
FLU_wk10_06,136,Health,5,171.90400000000002,718.0,42
FLU_wk11_04,76,Health,5,113.27,261.0,42
FLU_wk11_06,137,Health,5,121.88700000000001,528.0,42
FLU_wk12_05,97,Health,5,178.42999999999998,771.0,56
FLU_wk12_06,138,Health,5,131.80800000000005,598.0,42
FLU_wk13_04,77,Health,5,8.35,80.0,42
FLU_wk13_06,139,Health,5,104.74599999999998,421.0,42
FLU_wk14_05,98,Health,5,205.65499999999997,675.0,56
FLU_wk14_06,140,Health,5,72.728,225.0,42
FLU_wk15_06,141,Health,5,82.88200000000003,393.0,42
FLU_wk16_05,99,Health,5,129.13100000000003,349.0,56
FLU_wk16_06,142,Health,5,74.268,263.0,42
FLU_wk17_06,143,Health,5,68.37500000000001,235.0,42
FLU_wk40_04,84,Health,5,8.093,53.0,19
FLU_wk40_05,109,Health,5,11.603000000000003,35.0,9
FLU_wk41_05,110,Health,5,10.062,47.0,16
FLU_wk42_04,85,Health,5,21.027,84.0,33
FLU_wk42_05,111,Health,5,24.450999999999997,91.0,23
FLU_wk43_05,112,Health,5,84.98400000000001,224.0,30
FLU_wk44_04,86,Health,5,74.92499999999998,333.0,47
FLU_wk44_05,113,Health,5,82.377,327.0,37
FLU_wk45_05,114,Health,5,121.399,424.0,39
FLU_wk46_04,87,Health,5,122.74200000000002,446.0,48
FLU_wk46_05,117,Health,5,180.481,608.0,39
FLU_wk47_05,118,Health,5,114.005,391.0,40
FLU_wk48_04,88,Health,5,138.486,527.0,56
FLU_wk48_05,120,Health,5,171.52800000000002,573.0,40
FLU_wk49_05,122,Health,5,98.20200000000003,426.0,40
FLU_wk50_04,89,Health,5,144.79699999999994,588.0,56
FLU_wk50_05,123,Health,5,154.76500000000007,504.0,39
FLU_wk51_05,124,Health,5,262.357,745.0,42
FLU_wk52_04,91,Health,5,187.83100000000005,613.0,58
FLU_wk52_05,125,Health,5,211.46,658.0,42
FR22R1_WTA,410,Election,4,51.208999999999996,155.0,229
FR22R2_WTA,411,Election,4,20.520000000000003,213.0,245
FR22_CAND,412,Election,5,7.92,8.0,229
FVE_06-07,186,Health,6,269.829,875.0,112
FVE_07-08,286,Health,3,337.014,826.0,104
FVdate,47,Election,5,1843.265,8051.0,255
FVparti,43,Election,10,2090.8269999999993,19136.0,292
FVprime,50,Election,3,136.48000000000002,568.0,80
FedPolicy,20,Economic,51,14060.276000000018,45500.0,667
FedPolicyB,51,Economic,302,273353.4980000003,982708.0,5917
FranceEU99,11,Election,11,746.5089999999997,7453.0,94
GInflation,32,Economic,18,402.0949999999998,2896.0,145
GOOGLE_LIN,82,Economic,2,244.85099999999997,521.0,53
GOOGLE_WTA,83,Election,9,1522.9569999999999,10306.0,53
GRSpread,33,Economic,8,99.60100000000003,734.0,141
GermanyEU99,14,Election,6,3.943,21.0,58
HFM_Ber,150,Hurricane,18,241.74,1163.0,4
HFM_Beta,121,Hurricane,10,0.8919999999999999,892.0,6
HFM_Chr,151,Hurricane,18,201.39,1671.0,4
HFM_DEAN,226,Hurricane,35,658.9840000000002,5164.0,13
HFM_Deb,152,Hurricane,18,0.1,1.0,6
HFM_ERI,227,Hurricane,18,141.341,465.0,1
HFM_Ern,153,Hurricane,18,552.517,5042.0,5
HFM_FEL,228,Hurricane,18,221.73500000000007,1551.0,6
HFM_Flo,154,Hurricane,18,87.36999999999995,2538.0,8
HFM_GAB,229,Hurricane,18,132.781,379.0,1
HFM_Gamma,126,Hurricane,10,25.65,103.0,15
HFM_Gor,155,Hurricane,18,4.75,5.0,9
HFM_HUM,230,Hurricane,35,41.51,76.0,2
HFM_Hel,156,Hurricane,18,103.10500000000002,1151.0,73
HFM_ING,231,Hurricane,18,80.37499999999999,1047.0,3
HFM_Irene,101,Hurricane,10,0.01,1.0,7
HFM_Isa,157,Hurricane,18,14.427,37.0,58
HFM_KAR,242,Hurricane,18,244.48900000000006,2400.0,33
HFM_Kat_Gulf,103,Hurricane,10,296.285,1072.0,2
HFM_Katrina,102,Hurricane,10,140.95999999999998,395.0,2
HFM_Maria,104,Hurricane,10,4.85,90.0,9
HFM_NOE,263,Hurricane,35,102.427,583.0,105
HFM_Nate,105,Hurricane,10,0.0,0.0,6
HFM_Ophelia,106,Hurricane,10,936.3969999999996,4469.0,12
HFM_Philippe,107,Hurricane,10,0.0,0.0,6
HFM_Rit,108,Hurricane,19,835.523,2287.0,6
HFM_Stn,115,Hurricane,10,0.0,0.0,2
HFM_Tam,116,Hurricane,10,12.84,161.0,0
HFM_Wilma,119,Hurricane,10,360.85,2093.0,8
HOUSE06,146,Election,3,26921.355999999992,69535.0,162
HOUSE20,390,Election,3,4198.584999999997,12932.0,400
HOUSE22,408,Election,3,9726.506000000001,20069.0,630
Hessen_99,6,Election,5,64.453,292.0,25
House04,80,Election,3,9428.668999999993,29968.0,141
House08,339,Election,3,5493.255999999999,14683.0,77
House10,344,Election,6,15747.452000000005,49405.0,345
House12,353,Election,3,7416.603999999995,23631.0,487
House14,358,Election,3,5261.898000000003,16169.0,688
House18,368,Election,3,13366.257000000001,48946.0,696
House24,415,Election,3,604.5129999999999,1880.0,255
IACaucus12,355,Election,7,15583.02900000001,50378.0,129
IAFLU_WK01,272,Health,5,160.10600000000002,541.0,51
IAFLU_WK01_07,180,Health,5,336.99700000000007,1375.0,42
IAFLU_WK02,277,Health,5,165.07299999999998,634.0,44
IAFLU_WK02_07,182,Health,5,244.75699999999998,947.0,42
IAFLU_WK03,280,Health,5,145.13000000000002,547.0,42
IAFLU_WK03_07,184,Health,5,210.6600000000001,759.0,42
IAFLU_WK04,283,Health,5,121.06900000000005,460.0,43
IAFLU_WK04_07,187,Health,5,248.31699999999992,882.0,42
IAFLU_WK05,287,Health,5,104.23500000000003,369.0,45
IAFLU_WK05_07,189,Health,5,207.989,738.0,43
IAFLU_WK06,290,Health,5,149.047,447.0,42
IAFLU_WK06_07,191,Health,5,199.67499999999995,675.0,43
IAFLU_WK07,293,Health,5,151.715,444.0,42
IAFLU_WK07_07,193,Health,5,177.98899999999998,666.0,42
IAFLU_WK08,296,Health,5,159.91599999999997,469.0,43
IAFLU_WK08_07,195,Health,5,177.02,775.0,42
IAFLU_WK09,299,Health,5,133.65999999999997,427.0,44
IAFLU_WK09_07,198,Health,5,204.08200000000002,764.0,42
IAFLU_WK10,302,Health,5,129.11500000000004,398.0,42
IAFLU_WK10_07,200,Health,5,199.277,755.0,42
IAFLU_WK11,305,Health,5,122.30900000000005,483.0,42
IAFLU_WK11_07,202,Health,5,162.26000000000002,718.0,42
IAFLU_WK12,308,Health,5,115.82999999999998,421.0,44
IAFLU_WK12_07,204,Health,5,140.36200000000002,634.0,42
IAFLU_WK13,311,Health,5,111.328,423.0,44
IAFLU_WK13_07,209,Health,5,161.48699999999997,686.0,42
IAFLU_WK14,314,Health,5,85.519,402.0,44
IAFLU_WK14_07,212,Health,5,141.432,599.0,42
IAFLU_WK15,317,Health,5,98.30899999999998,435.0,43
IAFLU_WK15_07,216,Health,5,147.81300000000005,489.0,42
IAFLU_WK16,320,Health,5,97.426,427.0,43
IAFLU_WK16_07,218,Health,5,117.976,353.0,42
IAFLU_WK17,323,Health,5,94.05499999999998,307.0,44
IAFLU_WK17_07,220,Health,5,109.75500000000005,306.0,42
IAFLU_WK18,327,Health,5,96.425,218.0,43
IAFLU_WK18_07,222,Health,5,63.964,192.0,42
IAFLU_WK19,330,Health,5,93.11999999999999,193.0,46
IAFLU_WK20,333,Health,5,51.684999999999995,92.0,44
IAFLU_WK40,232,Health,5,58.815000000000005,98.0,22
IAFLU_WK41,233,Health,5,76.862,189.0,29
IAFLU_WK42,234,Health,5,74.62400000000001,176.0,36
IAFLU_WK42_06,158,Health,5,29.667,57.0,7
IAFLU_WK43,235,Health,5,105.08900000000004,273.0,43
IAFLU_WK43_06,159,Health,5,142.10799999999998,410.0,12
IAFLU_WK44,240,Health,5,118.67,274.0,43
IAFLU_WK44_06,160,Health,5,190.60900000000004,570.0,19
IAFLU_WK45,243,Health,5,112.99100000000003,278.0,43
IAFLU_WK45_06,161,Health,5,236.08900000000003,799.0,26
IAFLU_WK46,247,Health,5,169.321,421.0,43
IAFLU_WK46_06,162,Health,5,242.82199999999995,876.0,33
IAFLU_WK47,249,Health,5,123.00200000000002,364.0,43
IAFLU_WK47_06,163,Health,5,221.874,889.0,40
IAFLU_WK48,257,Health,5,171.57,512.0,42
IAFLU_WK48_06,164,Health,5,247.4300000000002,1046.0,43
IAFLU_WK49,260,Health,5,172.71500000000003,604.0,43
IAFLU_WK49_06,165,Health,5,234.96000000000015,969.0,43
IAFLU_WK50,265,Health,5,170.67200000000003,533.0,42
IAFLU_WK50_06,174,Health,5,233.37,938.0,43
IAFLU_WK51,268,Health,5,162.22699999999995,527.0,43
IAFLU_WK51_06,176,Health,5,288.1700000000001,1130.0,42
IAFLU_WK52,271,Health,5,148.141,483.0,44
IAFLU_WK52_06,178,Health,5,241.87900000000005,1071.0,42
Index,388,Economic,7,255.369,593.0,110
IntInd,386,Economic,31,2247.807999999999,7917.0,480
MNSen08_VS,336,Election,3,703.036,2441.0,80
MNSen08_WTA,337,Election,3,10056.568,24114.0,80
MSFT-Price,45,Economic,6,279.501,767.0,89
MSFTPrice,46,Economic,6,1603.0519999999997,3075.0,89
MSFT_PL,377,Economic,8,190.96,365.0,298
MSFT_Price,8,Economic,158,35931.34400000004,79217.0,2501
MX_VS,30,Election,4,140.646,448.0,62
MX_Winner,31,Election,4,1140.4089999999997,2927.0,62
Movie_50Sh,363,Movie,5,61.40300000000001,256.0,113
Movie_AdjB,349,Movie,5,61.503,263.0,42
Movie_BEOW,264,Movie,5,160.69899999999996,681.0,42
Movie_Cat,70,Movie,9,309.95,2044.0,45
Movie_Coco,375,Movie,6,0.0,0.0,45
Movie_Die,62,Movie,5,921.5969999999995,5422.0,43
Movie_EOS,5,Movie,7,631.6669999999993,2392.0,37
Movie_Font,173,Movie,5,293.37,1384.0,49
Movie_Grin,34,Movie,4,378.776,1468.0,50
Movie_HFet,172,Movie,5,466.10299999999984,2085.0,42
Movie_HPS,53,Movie,7,1150.5120000000006,4951.0,57
Movie_ISK,4,Movie,4,399.00799999999987,1493.0,36
Movie_MAT,12,Movie,4,300.2000000000001,1606.0,37
Movie_MINC,54,Movie,5,648.1249999999995,3019.0,43
Movie_SBob,90,Movie,6,229.60600000000008,1398.0,44
Movie_SH,21,Movie,5,1529.4879999999994,7220.0,41
Movie_Six,35,Movie,4,208.27099999999996,798.0,50
Movie_Sun,65,Movie,4,413.974,3737.0,44
Movie_THRE,211,Movie,5,101.95400000000004,308.0,42
Movie_TTI,13,Movie,4,250.27499999999998,1406.0,37
Movie_Twlt,341,Movie,6,177.09300000000005,903.0,38
Movie_WINE,22,Movie,5,1887.2550000000003,9050.0,41
NCFLU_WK01,274,Health,5,28.610000000000007,126.0,51
NCFLU_WK01_07,181,Health,5,102.01300000000002,437.0,42
NCFLU_WK02,278,Health,5,36.83799999999999,141.0,44
NCFLU_WK02_07,183,Health,5,88.97000000000001,356.0,42
NCFLU_WK03,281,Health,5,39.20800000000001,170.0,42
NCFLU_WK03_07,185,Health,5,87.633,360.0,42
NCFLU_WK04,284,Health,5,43.91,173.0,43
NCFLU_WK04_07,188,Health,5,99.526,390.0,42
NCFLU_WK05,288,Health,5,37.17999999999999,151.0,45
NCFLU_WK05_07,190,Health,5,81.92000000000002,320.0,43
NCFLU_WK06,291,Health,5,51.38,166.0,42
NCFLU_WK06_07,192,Health,5,73.48400000000002,341.0,43
NCFLU_WK07,294,Health,5,44.120000000000005,155.0,42
NCFLU_WK07_07,194,Health,5,77.53000000000003,342.0,42
NCFLU_WK08,297,Health,5,60.29000000000003,188.0,43
NCFLU_WK08_07,196,Health,5,69.229,404.0,42
NCFLU_WK09,300,Health,5,51.01,187.0,44
NCFLU_WK09_07,199,Health,5,81.347,420.0,42
NCFLU_WK10,303,Health,5,40.71,161.0,42
NCFLU_WK10_07,201,Health,5,65.42000000000002,350.0,42
NCFLU_WK11,306,Health,5,39.670000000000016,162.0,42
NCFLU_WK11_07,203,Health,5,62.018,348.0,42
NCFLU_WK12,309,Health,5,32.03000000000001,167.0,44
NCFLU_WK12_07,205,Health,5,69.10700000000001,376.0,42
NCFLU_WK13,312,Health,5,22.769999999999996,130.0,44
NCFLU_WK13_07,210,Health,5,49.88000000000002,260.0,42
NCFLU_WK14,315,Health,5,28.16,128.0,44
NCFLU_WK14_07,213,Health,5,53.010000000000005,227.0,42
NCFLU_WK15,318,Health,5,17.68,105.0,43
NCFLU_WK15_07,217,Health,5,44.535,166.0,42
NCFLU_WK16,321,Health,5,23.75,122.0,43
NCFLU_WK16_07,219,Health,5,53.559999999999995,153.0,42
NCFLU_WK17,324,Health,5,27.719999999999995,128.0,44
NCFLU_WK17_07,221,Health,5,62.760000000000005,138.0,42
NCFLU_WK18,328,Health,5,23.18999999999999,96.0,43
NCFLU_WK18_07,223,Health,5,59.030000000000015,131.0,42
NCFLU_WK19,331,Health,5,14.56,37.0,46
NCFLU_WK20,334,Health,5,11.139999999999999,28.0,44
NCFLU_WK40,236,Health,5,22.049999999999997,55.0,21
NCFLU_WK41,237,Health,5,15.299999999999999,40.0,28
NCFLU_WK42,238,Health,5,16.330000000000002,59.0,35
NCFLU_WK43,239,Health,5,23.432000000000002,64.0,42
NCFLU_WK44,241,Health,5,29.575,83.0,42
NCFLU_WK44_06,166,Health,5,25.999999999999993,93.0,6
NCFLU_WK45,244,Health,5,31.909999999999993,92.0,42
NCFLU_WK45_06,167,Health,5,51.260000000000005,227.0,13
NCFLU_WK46,248,Health,5,36.21000000000001,118.0,42
NCFLU_WK46_06,168,Health,5,63.730000000000004,273.0,20
NCFLU_WK47,250,Health,5,36.161,140.0,43
NCFLU_WK47_06,169,Health,5,59.38500000000004,297.0,27
NCFLU_WK48,258,Health,5,42.57000000000001,159.0,42
NCFLU_WK48_06,170,Health,5,92.94500000000001,438.0,34
NCFLU_WK49,261,Health,5,44.02700000000001,167.0,43
NCFLU_WK49_06,171,Health,5,97.52999999999997,482.0,41
NCFLU_WK50,266,Health,5,51.663999999999994,214.0,42
NCFLU_WK50_06,175,Health,5,106.59999999999997,455.0,43
NCFLU_WK51,269,Health,5,39.45000000000002,133.0,43
NCFLU_WK51_06,177,Health,5,96.17500000000004,404.0,42
NCFLU_WK52,273,Health,5,33.42000000000001,131.0,44
NCFLU_WK52_06,179,Health,5,92.329,394.0,42
NEFLU_WK01,276,Health,5,62.68500000000002,301.0,51
NEFLU_WK02,279,Health,5,49.45,239.0,44
NEFLU_WK03,282,Health,5,67.107,284.0,42
NEFLU_WK04,285,Health,5,73.47800000000001,292.0,43
NEFLU_WK05,289,Health,5,74.51599999999999,350.0,45
NEFLU_WK06,292,Health,5,73.458,275.0,42
NEFLU_WK07,295,Health,5,77.197,260.0,42
NEFLU_WK08,298,Health,5,99.73499999999999,334.0,43
NEFLU_WK09,301,Health,5,108.798,330.0,44
NEFLU_WK10,304,Health,5,100.16400000000002,378.0,42
NEFLU_WK11,307,Health,5,75.865,319.0,42
NEFLU_WK12,310,Health,5,57.60099999999999,279.0,44
NEFLU_WK13,313,Health,5,44.43699999999999,228.0,44
NEFLU_WK14,316,Health,5,42.62000000000002,260.0,44
NEFLU_WK15,319,Health,5,47.108000000000025,249.0,43
NEFLU_WK16,322,Health,5,38.88100000000001,225.0,43
NEFLU_WK17,325,Health,5,58.64300000000001,183.0,44
NEFLU_WK18,329,Health,5,64.50200000000001,185.0,43
NEFLU_WK19,332,Health,5,50.065000000000005,129.0,46
NEFLU_WK20,335,Health,5,37.470000000000006,81.0,44
NEFLU_WK40,245,Health,5,5.395,33.0,4
NEFLU_WK41,246,Health,5,21.235,59.0,11
NEFLU_WK42,251,Health,5,35.160000000000004,94.0,8
NEFLU_WK43,252,Health,5,33.28,83.0,15
NEFLU_WK44,253,Health,5,73.21,191.0,22
NEFLU_WK45,254,Health,5,105.65,295.0,29
NEFLU_WK46,255,Health,5,115.01499999999997,349.0,36
NEFLU_WK47,256,Health,5,105.68000000000006,385.0,43
NEFLU_WK48,259,Health,5,122.316,415.0,42
NEFLU_WK49,262,Health,5,121.59400000000002,449.0,43
NEFLU_WK50,267,Health,5,109.92600000000002,442.0,42
NEFLU_WK51,270,Health,5,98.51799999999999,418.0,43
NEFLU_WK52,275,Health,5,66.173,279.0,44
NLCoalitie,58,Election,9,70016.91999999998,525008.0,113
NLCoalitie03,63,Election,9,337427.6920000002,2673801.0,188
NLPremier,56,Election,10,278761.8909999994,3038327.0,191
NLPremier03,64,Election,5,99894.31999999985,584545.0,160
NLPres,55,Election,5,173.69600000000005,682.0,23
NLPvdA,61,Election,5,32791.473,169209.0,18
NLTK03,60,Election,12,149013.63499999995,2211179.0,90
NLTweedeKamer,57,Election,12,321463.0450000001,6621202.0,123
NYCMAYOR,52,Election,3,5633.142999999998,16596.0,37
NYSENATE,18,Election,6,63015.01699999994,261479.0,513
PDPRIM_VS,224,Election,6,32.465,124.0,91
PDPRIM_WTA,225,Election,6,82.08600000000003,356.0,91
PRES00_VS,25,Election,3,14816.143999999991,49263.0,312
PRES00_WTA,29,Election,3,152587.50500000003,419047.0,200
PRES08_VS,148,Election,2,9954.399000000005,19732.0,890
PRES08_WTA,149,Election,2,225295.31900000002,493747.0,890
PRES12_VS,350,Election,2,7694.285999999999,15242.0,497
PRES12_WTA,351,Election,2,226866.1730000001,467655.0,497
PRES16_VS,361,Election,2,10965.865000000002,21242.0,724
PRES16_WTA,362,Election,2,214248.0609999999,464215.0,724
PRES20_VS,383,Election,2,5104.146999999999,9797.0,638
PRES20_WTA,384,Election,2,71525.49799999999,158051.0,638
PRES24_WTA,421,Election,2,4011.332999999999,7131.0,238
Pres04_VS,66,Election,16,47404.965000000135,332928.0,624
Pres04_WTA,78,Election,6,327384.90400000016,1106722.0,163
Pres24_VS,420,Election,2,107.673,197.0,239
QUEB22_SS,413,Election,6,0.0,0.0,37
RCONV00,16,Election,6,57404.82600000002,455838.0,416
RCONV12,356,Election,7,74595.19499999976,547542.0,366
RCONV16,364,Election,5,40540.57699999997,193096.0,178
RCONV24,419,Election,4,2388.4419999999996,11894.0,249
RConv08,215,Election,6,55119.80699999997,294519.0,310
RECALL_1,68,Election,5,3698.7129999999997,9891.0,43
RECALL_2,69,Election,7,3035.322999999998,11087.0,43
REFORM00,26,Election,5,6544.61300000001,35095.0,222
SENATE06,147,Election,3,14981.251999999997,44661.0,162
SENATE20,389,Election,3,8242.978,24170.0,450
SENATE22,409,Election,3,10222.409999999994,40618.0,627
SWmrsa2008,326,Health,4,2.8200000000000003,12.0,289
Saxony_99,19,Election,6,159.20500000000004,1091.0,65
Senate04,81,Election,3,12519.382000000007,36873.0,141
Senate08,340,Election,3,4173.009999999999,10832.0,77
Senate10,345,Election,6,12024.172999999988,40050.0,345
Senate12,354,Election,3,10054.726999999995,33357.0,483
Senate14,359,Election,3,11612.210000000001,35203.0,688
Senate18,367,Election,3,8475.241999999995,28059.0,725
Senate24,416,Election,3,686.98,1556.0,255
TAIWAN_VS,23,Election,4,2293.085000000001,8528.0,75
TAIWAN_W,27,Election,4,1977.8629999999998,6310.0,37
UN_INT,342,Economic,8,51.01200000000001,76.0,222
Vors_CDU,28,Election,5,297.54200000000003,1500.0,32
